article,title,mapped_top_class
Article 1,Subject matter`,owl:Thing
Article 2,Scope,owl:Thing
Article 3,Definitions,owl:Thing
Article 4,AI literacy,owl:Thing
Article 5,Prohibited AI practices,AI_System
Article 6,Classification rules for high-risk AI systems,AI_System
Article 7,Amendments to Annex III,owl:Thing
Article 8,Compliance with the requirements,owl:Thing
Article 9,Risk management system,Obligation
Article 10,Data and data governance,Governance
Article 11,Technical documentation,owl:Thing
Article 12,Record-keeping,owl:Thing
Article 13,Transparency and provision of information to deployers,Obligation
Article 14,Human oversight,owl:Thing
Article 15,"Accuracy, robustness and cybersecurity",owl:Thing
Article 16,Obligations of providers of high-risk AI systems,AI_System
Article 17,Quality management system,owl:Thing
Article 18,Documentation keeping,owl:Thing
Article 19,Automatically generated logs,owl:Thing
Article 20,Corrective actions and duty of information,owl:Thing
Article 21,Cooperation with competent authorities,owl:Thing
Article 22,Authorised representatives of providers of high-risk AI systems,AI_System
Article 23,Obligations of importers,Obligation
Article 24,Obligations of distributors,Obligation
Article 25,Responsibilities along the AI value chain,owl:Thing
Article 26,Obligations of deployers of high-risk AI systems,AI_System
Article 27,Fundamental rights impact assessment for high-risk AI systems,AI_System
Article 28,Notifying authorities,owl:Thing
Article 29,Application of a conformity assessment body for notification,owl:Thing
Article 30,Notification procedure,owl:Thing
Article 31,Requirements relating to notified bodies,owl:Thing
Article 32,Presumption of conformity with requirements relating to notified bodies,owl:Thing
Article 33,Subsidiaries of notified bodies and subcontracting,owl:Thing
Article 34,Operational obligations of notified bodies,Obligation
Article 35,Identification numbers and lists of notified bodies,owl:Thing
Article 36,Changes to notifications,owl:Thing
Article 37,Challenge to the competence of notified bodies,owl:Thing
Article 38,Coordination of notified bodies,owl:Thing
Article 39,Conformity assessment bodies of third countries,owl:Thing
Article 40,Harmonised standards and standardisation deliverables,owl:Thing
Article 41,Common specifications,owl:Thing
Article 42,Presumption of conformity with certain requirements,owl:Thing
Article 43,Conformity assessment,owl:Thing
Article 44,Certificates,owl:Thing
Article 45,Information obligations of notified bodies,Obligation
Article 46,Derogation from conformity assessment procedure,owl:Thing
Article 47,EU declaration of conformity,owl:Thing
Article 48,CE marking,owl:Thing
Article 49,Registration,owl:Thing
Article 50,Transparency obligations for providers and deployers of certain AI systems,Obligation
Article 51,Classification of general-purpose AI models as general-purpose AI models with systemic risk,owl:Thing
Article 52,Procedure,owl:Thing
Article 53,Obligations for providers of general-purpose AI models,Obligation
Article 54,Authorised representatives of providers of general-purpose AI models,owl:Thing
Article 55,Obligations of providers of general-purpose AI models with systemic risk,Obligation
Article 56,Codes of practice,owl:Thing
Article 57,AI regulatory sandboxes,Governance
Article 58,"Detailed arrangements for, and functioning of, AI regulatory sandboxes",Governance
Article 59,Further processing of personal data for developing certain AI systems in the public interest in the AI regulatory,owl:Thing
Article 60,Testing of high-risk AI systems in real world conditions outside AI regulatory sandboxes,AI_System
Article 61,Informed consent to participate in testing in real world conditions outside AI regulatory sandboxes,Governance
Article 62,"Measures for providers and deployers, in particular SMEs, including start-ups",owl:Thing
Article 63,Derogations for specific operators,owl:Thing
Article 64,AI Office,Governance
Article 65,Establishment and structure of the European Artificial Intelligence Board,Governance
Article 66,Tasks of the Board,Governance
Article 67,Advisory forum,owl:Thing
Article 68,Scientific panel of independent experts,owl:Thing
Article 69,Access to the pool of experts by the Member States,owl:Thing
Article 70,Designation of national competent authorities and single points of contact,owl:Thing
Article 71,EU database for high-risk AI systems listed in Annex III,AI_System
Article 72,Post-market monitoring by providers and post-market monitoring plan for high-risk AI systems,AI_System
Article 73,Reporting of serious incidents,owl:Thing
Article 74,Market surveillance and control of AI systems in the Union market,owl:Thing
Article 75,"Mutual assistance, market surveillance and control of general-purpose AI systems",owl:Thing
Article 76,Supervision of testing in real world conditions by market surveillance authorities,owl:Thing
Article 77,Powers of authorities protecting fundamental rights,owl:Thing
Article 78,Confidentiality,owl:Thing
Article 79,Procedure at national level for dealing with AI systems presenting a risk,owl:Thing
Article 80,Procedure for dealing with AI systems classified by the provider as non-high-risk in application of Annex III,AI_System
Article 81,Union safeguard procedure,owl:Thing
Article 82,Compliant AI systems which present a risk,owl:Thing
Article 83,Formal non-compliance,owl:Thing
Article 84,Union AI testing support structures,owl:Thing
Article 85,Right to lodge a complaint with a market surveillance authority,Governance
Article 86,Right to explanation of individual decision-making,owl:Thing
Article 87,Reporting of infringements and protection of reporting persons,owl:Thing
Article 88,Enforcement of the obligations of providers of general-purpose AI models,Obligation
Article 89,Monitoring actions,owl:Thing
Article 90,Alerts of systemic risks by the scientific panel,owl:Thing
Article 91,Power to request documentation and information,owl:Thing
Article 92,Power to conduct evaluations,owl:Thing
Article 93,Power to request measures,owl:Thing
Article 94,Procedural rights of economic operators of the general-purpose AI model,owl:Thing
Article 95,Codes of conduct for voluntary application of specific requirements,owl:Thing
Article 96,Guidelines from the Commission on the implementation of this Regulation,owl:Thing
Article 97,Exercise of the delegation,owl:Thing
Article 98,Committee procedure,owl:Thing
Article 99,Penalties,owl:Thing
Article 100,"Administrative fines on Union institutions, bodies, offices and agencies",Governance
Article 101,Fines for providers of general-purpose AI models,owl:Thing
Article 102,Amendment to Regulation (EC) No 300/2008,owl:Thing
Article 103,Amendment to Regulation (EU) No 167/2013,owl:Thing
Article 104,Amendment to Regulation (EU) No 168/2013,owl:Thing
Article 105,Amendment to Directive 2014/90/EU,owl:Thing
Article 106,Amendment to Directive (EU) 2016/797,owl:Thing
Article 107,Amendment to Regulation (EU) 2018/858,owl:Thing
Article 108,Amendments to Regulation (EU) 2018/1139,owl:Thing
Article 109,Amendment to Regulation (EU) 2019/2144,owl:Thing
Article 110,Amendment to Directive (EU) 2020/1828,owl:Thing
Article 111,AI systems already placed on the market or put into service and general-purpose AI models already placed on the,owl:Thing
Article 112,Evaluation and review,owl:Thing
Article 113,Entry into force and application,owl:Thing
